sentiment,emotion,summary
Positive,Encouragement,"Keep the spirit up, bro."
Positive,Happiness,😍😍😍 (Very fond/loving)
Positive,Happiness,"The repetition suggests a strong, positive emotion like happiness or joy."
Positive,Happiness,"""Thanks to the good people 😀"" expresses gratitude and happiness."
Positive,Happiness,The reviewer expresses gratitude and joy with multiple emojis.
Positive,Happiness,"Similar to Review 11, the repetition suggests a strong, positive emotion."
Positive,Happiness,"The comment conveys a positive sentiment, expressing admiration and happiness."
Positive,Respect,"The comment expresses admiration or respect, evoking a sense of happiness or satisfaction."
Positive,Happiness,"The speaker is expressing relief and satisfaction, conveying happiness."
Positive,Happiness,"The speaker is expressing approval and excitement, conveying happiness."
Positive,Surprise,"The speaker is noting something unusual, conveying surprise."
Positive,Happiness,"""🥰🥰🥰"" (Melting face) is typically used to express extreme happiness or affection."
Positive,Happiness,"""😊 (Smiling face with smiling eyes)"" is a common emoji for expressing happiness or contentment."
Positive,Happiness,"The reviewer expresses admiration and respect, indicating a positive emotion."
Positive,Happiness,"The speaker is offering encouragement and support, conveying happiness."
Positive,Happiness,"So good, respect 🥰🔥🔥🔥"
Positive,Happiness,"""Most of the time, the comments are so cute 🥰"" expresses delight and happiness with the overall comment quality."
Positive,Happiness,"The speaker is encouraging positivity and motivation, conveying happiness."
Positive,Happiness,"The user finds the comments sweet and pleasing, indicating happiness."
Positive,Happiness,"😭SEMANGAT BANG! - This exclamation shows encouragement and joy, fitting the positive category."
Positive,Happiness,"So good, respect 🥰🔥🔥🔥"
Positive,Encouragement,"The comment is a motivational statement, expressing support and positivity."
Positive,Admiration,Really admiring the penguin.
Positive,Happiness/Respect,"The user admires Pandawara's ability to complete a task, showing respect and happiness."
Positive,Love/Admiration,Expressing deep respect and admiration.
Positive,Happiness,"Most of the time, the comments are sweet. (To everyone)"
Positive,Amusement,"The further Indonesia goes, the spicier it gets 😂"
Positive,Love,"Stay healthy, everyone 🥺🥺"
Positive,Encouragement,"Keep the spirit, Pandawara 🔥🔥👍."
Positive,Happiness,Intense expression of gratitude and joy.
Positive,Happiness,The user expresses happiness with a simple smiley face emoji.
Positive,Pride,"You're doing great, respect 🥰🔥🔥🔥"
Positive,Happiness,Highly expressing gratitude and joy.
Positive,Happiness,The use of laughing and thankful emojis indicates a humorous and grateful emotion.
Positive,Happiness,"So cool, buddy"
Positive,Happiness,Encouraging positivity and support.
Positive,Happiness,Encouraging good health and positivity.
Positive,Happiness,Expressing gratitude with emotional intensity.
Positive,Amusement,"The user finds humor in covering their mouth during a video, indicating surprise and amusement."
Positive,Camaraderie,"Keep the spirit up, bro"
Positive,No emotion,"Stay healthy, Mas Mas Pandawara..."
Positive,Gratitude,"Thank you, good people 🥺"
Positive,Moral,"Let's make it a lesson for all of us, don't waste things randomly, take care of each other"
Positive,Happiness,"The reviewer expresses gratitude and wishes for health and well-being, evoking happiness."
Positive,Hope/Gratitude,"The user wishes health for Pandawara and the crew, expressing hope and gratitude."
Positive,Encouragement,"Keep it up, bro ""pandawara"""
Positive,Happiness,Expressing enjoyment and approval.
Positive,Pride,The comments are filled with people with high intellect 🤓👌🏻🦵🏻
Positive,Happiness,"The user conveys complete satisfaction and approval, indicating happiness."
Positive,Happiness,😭😭 Laughing so hard
Positive,Happiness,"Stay healthy, all of you 🥺🥺"
Positive,Respect,Really respectful to Pandawara
Positive,Pride,"Pandawara's spirit 💪😃, may it become a field of merit for all of us. The effort is immense 😩"
Positive,Gratitude,Thank you to the good people. God bless 🙏🏼
Positive,Happiness,"The ""100"" emoji suggests strong approval or satisfaction, indicating a positive emotion."
Positive,Happiness,"The user expresses excitement and enthusiasm, akin to joy."
Positive,Happiness,The repeated use of laughing emojis indicates a strong sense of amusement and joy.
Positive,Happiness,"The ""Smiling face with smiling eyes"" emoji indicates happiness or contentment."
Positive,Happiness,Thank you so much 🥹🥹🥹🥹🥹🥹
Positive,Happiness,"Pandawara, when will you clean the canal, don't be busy there, Bae 🙏"
Positive,Happiness,"The ""Grinning face with smiling eyes"" emoji suggests extreme happiness or joy."
Positive,Happiness,Expressing support and encouragement.
Positive,Happiness,Thank you so much🥹🥹🥹🥹🥹🥹
Positive,Happiness,"Full of laughter, very funny"
Positive,Happiness,Healthy people are good people
Positive,Happiness,"Finally, the smell is gone"
Positive,Happiness,The comment expresses satisf
Positive,Happiness,"😭😭😭😭 (Full of laughter, very funny)"
Positive,Happiness,May you always be blessed and live in peace. Respect.
Positive,Happiness,The repeated use of 😍 suggests extreme happiness or joy.
Positive,Happiness,"Hey, really cool with the pandawara"
Positive,Happiness,😊
Positive,Respect,The reviewer shows admiration and respect towards Pandawara.
Positive,Happiness,The smiling face with smiling eyes emoji usually conveys joy or happiness.
Positive,Happiness,The reviewer expresses admiration and joy with multiple emojis.
Positive,Happiness,"The comment expresses amusement or laughter, indicated by 😭😭."
Positive,Happiness,"That's the spirit, yeah 🙂"
Positive,Happiness,"So cool, bro"
Positive,Happiness,"The reviewer finds humor in their own action, laughing at having covered their mouth unknowingly."
Positive,Happiness,"The repetition of ""praying hands"" suggests a positive, perhaps religious sentiment."
Positive,Happiness,"Similar to Review 6, the repetition implies strong positive sentiment."
Positive,Happiness,"The comment encourages learning from the situation and taking care of each other, expressing a positive sentiment."
Positive,Happiness,The comment conveys admiration and affection.
Positive,Happiness,The sentiment expresses well-wishing for good health.
Positive,Happiness,"Similar to Review 1, 3, and 6, this comment also wishes good health and includes laughter emoji 🙏."
Positive,Love/Admiration,The statement expresses admiration and affection.
Positive,Happiness,"The comment expresses appreciation or enjoyment, indicating a positive sentiment."
Positive,Respect,The statement expresses respect towards Pandawara.
Positive,Happiness,"😁, represents a content or happy expression."
Positive,Happiness,"The comment expresses admiration or impression, indicating a positive sentiment."
Positive,Happiness,"😭 Anjir ngecor coo - This statement expresses joy and affection, categorizing it as positive."
Positive,Happiness,The use of three fire emojis suggests strong enthusiasm or joy.
Positive,Happiness,"""100%"" implies full satisfaction or approval."
Positive,Happiness,"Similar to Review 1 and 3, this comment also wishes good health and includes laughter emoji 😭."
Positive,Happiness,The smile emoji indicates happiness or contentment.
Positive,Happiness,The comment conveys relaxation and contentment.
Positive,Happiness,"The comment is a well-wishing for good health, similar to Review 1."
Positive,Happiness,"The speaker encourages maintaining spirits, expressing positivity."
Positive,Respect,"Respect to the brother and his friends, always stay healthy ☺️"
Positive,Happiness,The comment expresses admiration and joy for the Pandawara spirit.
Positive,Happiness,The repeated use of heart emojis suggests extreme satisfaction or happiness.
Positive,Happiness,"The reviewer is impressed and amused by Pandawara's achievement, expressing joy through repeated laughter emojis."
Positive,Amusement,"If a penguin passes by your FYP, you have to send a complete package. 😄"
Positive,Happiness,"Salute to the brother and his friends, always stay healthy! ☺️"
Positive,Happiness,"Keep going, yeah! 🥰"
Positive,Happiness,"Cool, dude!"
Positive,Happiness,"😀, indicates a cheerful or happy mood."
Positive,Happiness,The repeated use of '🥹' indicates strong positive sentiment and happiness.
Positive,Excitement,"All thumbs up, perfect rating"
Positive,Happiness,"The comment conveys well-wishes and respect, evoking happiness."
Positive,Happiness,"😭SEMANGATTT KAKAKKK! - This exclamation conveys enthusiasm and support, indicating a positive emotion."
Positive,Happiness,"Finally, the stain is gone."
Positive,Happiness,The reviewer finds humor in the complexity of progress.
Positive,Cheekiness,"Gokil (Cheeky), Pandawara 5, keep going"
Positive,Happiness,"Thanks, I appreciate your intention to delete it 😭😭"
Positive,Nostalgia,"When will we meet again, snake brother?"
Positive,Respect,"Spirit of the brother, ""snake"""
Positive,Amusement,"Joking around late at night, planning to watch tomorrow 🤣🤣"
Positive,Encouragement,"Keep going, bro"
Positive,Happiness,"So cool, brother"
Positive,Pride,"So respectful, really impressive 🔥🔥🔥"
Positive,Happiness,"Stay healthy, everyone 🥺🥺"
Positive,Gratitude,"Thank you, good people"
Positive,Respect,"Really admire you, snake brother"
Positive,Happiness,"The exclamation marks and use of ""🔥🔥🔥"" indicate strong positive emotion and happiness."
Positive,Happiness,"The comment expresses a positive sentiment, wishing good health to others, and includes laughter emoji 😭😭."
Positive,Happiness,The heart emojis suggest strong positive feelings or love.
Positive,Happiness,"The reviewer found something amusing, indicating joy and laughter."
Positive,Happiness,The comment is expressing gratitude and positivity.
